Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2,758,714,803,44.50,0.000%,.35014,3.19,0.10,9342.0
TOTAL,2,758,714,803,44.50,0.000%,.35014,3.19,0.10,9342.0
